Comment,Designator,Footprint,LCSC
Conn_01x20,J3,PinSocket_1x20_P2.54mm_Vertical,
Conn_01x20,J2,PinSocket_1x20_P2.54mm_Vertical,
SW_Push,SW1,SW_PUSH_6mm,
Diode ,D1,D_DO-35_SOD27_P7.62mm_Horizontal,
Videopac-edgeconnector,J1,videopac-edgecon,
